id,Category,Intension,Augmented Intension with GPT4
00001,Advertising,Design a Facebook ad for a discussion on the ethical issues surrounding artificial intelligence.,"An engaging Facebook ad featuring a sleek, metallic robot with human-like features in deep thought, sitting at a vintage mahogany desk. The desk is strewn with books on ethics and artificial intelligence. In the background, a digital chalkboard displays a question: ""AI: Ethical Dilemma or Progress?"". The vibrant caption below reads: ""Join the Discussion!"""
00002,Advertising,"Create a Facebook advertisement for a wildlife organization that highlights interesting facts about tropical birds, particularly the Blue Macaw Parrot. The ad emphasizes that macaws can live for more than 75 years, larger than other parrots and cockatoos.","A vivid Facebook advertisement for a wildlife organization, centralizing on the majestic Blue Macaw Parrot. The parrot, with its striking azure plumage and powerful beak, stands out amidst a lush tropical background. The ad reveals intriguing facts; an infographic beside the bird highlights its longevity of over 75 years and its stature, towering above silhouettes of other parrots and cockatoos."
00003,Advertising,"Create an Instagram advertisement for SVW Group's International Cat Day Festival at Reeves Hall. Encourage people to attend the festival by highlighting the chance to find a pet friend and offering lectures on pet protection and cat grooming workshops. Date and location information: Aug 8, 2018, London, Reeves Hall.","A grand advertisement for SVW Group's International Cat Day Festival at the historic Reeves Hall in London, showcasing an array of adorable cats playfully frolicking. The date, August 8, 2018, is artfully displayed. The promise of finding a fluffy pet friend is highlighted. Speech bubbles emanate from a podium, symbolizing enlightening lectures on pet protection. Nearby, a cat grooming workshop is depicted, with cats gleefully receiving royal treatment."
00004,Advertising,Create an Instagram advertisement for a new baby formula brand called PINGUIN that emphasizes the importance of infant nutrition. The image features an adorable baby drinking from a bottle in pink.,"Imagine a radiant, cherubic baby with rosy cheeks and twinkling blue eyes, comfortably nestled in a soft, fluffy, pink blanket. In its tiny hands, it clutches a gleaming, PINGUIN-branded bottle filled with our nutritious baby formula. The background is an array of gentle pastel shades, subtly hinting at the importance of infant nutrition. Emblazoned above, the bold letters spell out ""PINGUIN"" - the brand promising your child's health and happiness."
00005,Advertising,Create a Facebook advertisement that showcases the hard work of farmers and the potential of agriculture. The image features a farmer harvesting vegetables in a field.,"An inspiring Facebook advertisement portraying the resilience and drive of farmers. In the heart of a lush, sunlit field, a farmer, weather-beaten but determined, is meticulously harvesting an assortment of vibrant, healthy vegetables. His hands, stained with earth, cradle a ripe tomato, symbolizing the immense potential of agriculture."
00006,Advertising,"Create a Facebook advertisement to promote the celebration of Diwali, a Hindu festival of lights. Encourage people to join the celebration on November 7th.","A vibrant, incandescent panorama of Diwali, the Hindu festival of lights. An array of multicolored, glistening diyas illuminate a backdrop of intricate Rangoli designs. A bold text proclaims, ""Join us on November 7th to celebrate Diwali!"" against a sky ablaze with fireworks, denoting joy and unity."
00007,Advertising,Create a Facebook ad for a robotics technology company that emphasizes the benefits of automation and how it can make life easier.,"An innovative Facebook ad featuring a sleek, futuristic robotics technology company's logo in radiant silver. A well-polished robotic arm efficiently performs complex tasks in the background, symbolizing the power of automation. Above, a bold tagline reads, ""Making life easier with automation,"" with a hint of sunrise in the backdrop, signifying a new era of convenience."
00008,Advertising,Create an Instagram advertisement for a handmade blue knitted blanket for sale. Encourage customers to order online with a 25% discount. The store sells various textiles and knitwear items.,"An enticing Instagram advertisement showcasing a handmade, sapphire blue knitted blanket delicately draped over a rustic wooden chair. The texture of the blanket appears soft and inviting, hinting at its comforting warmth. In one corner, there's a compelling call-to-action, offering a 25% discount for online orders. The backdrop subtly displays an array of textile and knitwear items, emphasizing the store's diverse collection."
00009,Advertising,"Create an Instagram ad for a dental clinic promotion that emphasizes the benefits of getting braces, such as a perfect and shiny smile, and saving time and money. The website address is cabool.eu","A panoramic view of a glossy, pristine, and perfect smile boasting perfectly aligned, pearl-white teeth against a soft mint background. The words, ""Perfect your Smile with Cabool.eu"" are emblazoned in bold, crisp white letters at the top. An array of metallic and ceramic braces, gleaming in the light, are elegantly placed below, with accompanying text, ""Save Time, Save Money"". The bottom right corner features a pulsating button saying, ""Join our Promotion Today!""."
00010,Advertising,"Create an Instagram ad to promote a Super Bowl food offer at INBLAST.SE bar, offering beer and hot dogs for $10. Show that it's the best place to watch the game in town.","Picture a lively INBLAST.SE bar, buzzing with the energy of Super Bowl excitement. The aroma of sizzling hot dogs mingles with the refreshing scent of chilled beer. A large screen showcases the thrilling game, while patrons cheer passionately. The spotlight is on a sign that reads ""Super Bowl Special: Hot Dog & Beer for $10"". This ad oozes the irresistible allure of being the best venue to catch the game in town."
